gene_callers_id	KDe747HP	KMy817HP
271	113.84093437152391	196.54022988505747
272	122.13314037626628	190.93653516295026
273	120.62709284627093	170.57046070460706
274	128.00581395348837	192.36197021764033
275	128.8917345750873	184.52263906856405
276	116.2263109475621	168.66666666666666
277	121.00282485875707	162.58689458689457
278	117.6398503274088	189.03030303030303
279	127.90011350737798	226.14975247524754
280	126.57448145820238	187.37519260400617
281	131.7556080283353	216.4828349944629
282	117.68953068592057	196.21618625277162
283	142.6361502347418	188.33823529411765
284	116.78046875	181.04242424242423
285	119.24578651685393	194.9467939972715
286	102.48129675810473	189.28726287262873
287	128.3875968992248	213.25785123966944
288	126.9769053117783	179.25252525252526
289	123.60126582278481	212.55007052186178
290	119.92961876832844	185.04034582132564
291	125.50570342205323	192.71513944223108
292	139.04891304347825	203.3963133640553
293	154.46245059288538	178.43881856540085
294	130.09398715703443	191.94893378226712
295	121.32558139534883	189.5030303030303
296	120.8416912487709	175.23069403714564
297	110.30759651307596	155.69599109131403
298	102.15867158671587	163.62267657992564
299	128.53909465020575	217.94466403162056
300	119.12482468443197	186.13145539906102
301	139.67965367965368	299.64935064935065
302	114.6951754385965	203.22048611111111
303	213.38888888888889	590.6908212560387
304	22.29242569511026	14.675213675213675
305	25.459167950693374	22.570422535211268
306	132.72794800371403	173.3091922005571
307	109.95510204081633	151.7408906882591
308	69.74089490114464	79.77365728900256
309	6.800304878048781	1.6888567293777135
310	8.081712062256809	1.986824769433465
311	8.514893617021277	1.875
312	1.6573033707865168	0.0
313	2.7186311787072244	0.0
314	6.265625	0.8708333333333333
315	0.4723203769140165	0.4387514723203769
316	0.0	0.0
317	0.0	0.0
318	0.0	0.0
319	0.0	0.0
320	0.0	0.0
321	0.0	0.0
322	0.0	0.0
323	0.0	0.0
324	0.4769392033542977	0.2180293501048218
325	0.0	0.0
326	0.0	0.0
327	0.0	0.0
328	0.0	0.0
329	0.0	0.0
330	0.0	0.0
331	0.0	0.0
332	0.0	0.0
333	0.0	0.0
334	0.0	0.0
335	0.0	0.0
336	0.0	0.0
337	0.0	0.0
338	0.0	0.0
339	0.0	0.0
340	0.0	0.0
341	0.0	0.0
342	0.0	0.0
343	0.0	0.0
344	0.0	0.0
345	0.0	0.0
346	0.0	0.0
347	0.0	0.0
348	0.0	0.17642069550466496
349	0.0	0.0
350	0.0	0.0
351	0.0	0.0
352	0.0	0.0
353	0.0	0.0
354	0.0	0.0
355	0.0	0.0
356	0.0	0.0
357	0.0	0.0
358	0.0	0.0
359	0.0	0.0
360	0.0	0.0
361	0.0	0.0
362	0.0	0.0
363	0.0	0.0
364	0.0	0.0
365	0.0	0.0
366	0.0	0.0
367	2582.5224274406332	4747.108888888889
368	112.5694098088113	182.23549783549782
369	105.02588235294118	168.05287356321838
370	109.49866666666667	155.7039897039897
371	124.2564901349948	207.72132796780684
372	135.63691194209892	187.01942857142856
373	124.17959617428268	208.6051332675222
374	125.75044563279857	172.23174603174604
375	131.58508158508158	244.24666666666667
376	115.03324348607367	190.12181818181818
377	122.33747855917667	201.9461105904405
378	134.17396449704142	186.51746931067044
379	108.87191358024691	187.6787452677123
380	115.98093220338983	202.44620811287479
381	125.93377483443709	184.65483870967742
382	123.04596977329975	206.815144766147
383	131.1323076923077	201.47721179624665
384	122.2534059945504	206.35147744945567
385	112.44776119402985	164.51629072681703
386	127.91472868217055	212.72808132147395
387	113.20747663551401	182.3583180987203
388	108.9070707070707	189.17737789203085
389	73.20529801324503	68.3514450867052
390	43.16245487364621	41.73684210526316
391	20.274217585692995	15.580246913580247
392	5.489913544668588	0.0
393	12.643449419568823	7.9506641366223905
394	13.421834061135371	5.966893039049236
395	71.49580335731414	138.46532846715328
396	109.9502262443439	149.33582089552237
397	107.98242530755712	151.9813374805599
398	84.88992537313433	147.43589743589743
399	94.36091954022989	173.7530864197531
400	101.99087353324641	195.99530516431926
401	122.04237288135593	243.47506925207756
402	78.67473378509196	152.37604456824513
403	97.03367003367003	175.05882352941177
404	103.76699029126213	171.36913285600636
405	130.71875	195.71358428805237
406	133.88747346072188	244.73151308304892
407	95.67899408284023	188.02658788774002
408	129.7505800464037	211.53092783505156
409	131.29535095715588	215.68552950687146
410	119.09844559585493	151.43023255813952
411	234.06944444444446	327.8976377952756
412	134.75877689694224	196.4282945736434
413	142.3734939759036	214.75
414	128.72381835032436	173.99007936507937
415	128.52459016393442	195.91395793499044
416	138.11976047904193	224.01657458563537
417	117.13793103448276	179.5630397236615
418	124.96551724137932	211.6993006993007
419	123.88931297709924	213.64685314685315
420	116.88383838383838	191.85775862068965
421	116.5286439448876	185.84977578475338
422	116.46177847113884	180.31459170013386
423	133.60884955752212	201.19961977186313
424	131.99867197875167	184.23648648648648
425	129.2289156626506	198.91992720655142
426	130.00997506234415	184.48326639892906
427	261.4776422764228	536.0914634146342
428	121.97919762258543	214.27777777777777
429	133.11327649208283	202.6100795755968
430	131.19015659955258	184.4775
431	135.8565782044043	196.60866752910738
432	144.8968253968254	185.0121212121212
433	140.2016129032258	221.79780219780218
434	151.62247191011235	219.9261744966443
435	115.81651376146789	166.72111553784862
436	156.83739837398375	229.75632183908047
437	136.59804983748646	191.62209302325581
438	136.1707650273224	197.41285030758715
439	127.4168618266979	170.67777777777778
440	60.29806451612903	87.1939461883408
441	28.669550173010382	13.246879334257976
442	25.76339869281046	10.713876967095851
443	27.117098445595854	15.162187210379981
444	18.665204678362574	10.251207729468598
445	19.643459915611814	18.929440389294403
446	39.360499265785606	41.390614672835426
447	117.03129890453835	177.37726723095525
448	145.05764966740577	230.59139784946237
449	227.6175298804781	321.9383259911894
450	276.43333333333334	632.5031055900621
451	146.364406779661	223.85390428211588
452	141.21878787878788	211.963249516441
453	129.3485600794439	185.53720693170234
454	122.80112044817928	199.17887323943663
455	122.0705481248361	199.32367688022285
456	121.68526228143214	206.06490384615384
457	116.68805970149253	200.717125382263
458	130.3850197109067	215.645
459	127.95098882201204	212.16251074806536
460	128.02496038034866	201.53601694915255
461	128.27611262488648	184.9776649746193
462	107.7601078167116	221.61702127659575
463	93.6943231441048	168.85109034267913
464	106.99880239520958	160.68525896414343
465	64.09100998890122	50.455414012738856
466	139.79576107899808	218.45977011494253
467	144.91666666666666	214.09848484848484
468	231.43119266055047	468.3730886850153
469	148.62058823529412	236.42123287671234
470	632.6125	1766.746835443038
471	142.09520547945206	199.01661849710982
472	140.73394495412845	200.30612244897958
473	144.5476772616137	247.8586118251928
474	108.25121951219512	207.84027777777777
475	146.6003937007874	205.17333333333335
476	133.30796460176992	223.60628465804066
477	124.04166666666667	202.30817610062894
478	137.22317596566523	199.9364640883978
479	123.78993055555556	197.50120288692864
480	120.40601503759399	156.37037037037038
481	110.23857868020305	187.18858800773694
482	134.684375	207.41471571906354
483	139.75103734439833	223.2951871657754
484	145.34364261168386	222.501303214596
485	134.21719457013575	207.26666666666668
486	151.73850574712642	204.79856972586413
487	130.15740740740742	213.48154362416108
488	146.18272171253824	233.15151515151516
489	132.72122302158274	231.6752380952381
490	127.73399014778325	176.8803418803419
491	137.99547511312218	202.65488215488216
492	134.3505747126437	197.34070796460176
493	153.25044722719142	197.26260504201682
494	142.151284490961	214.50930460333007
495	150.23333333333332	215.0531914893617
496	265.87139107611546	480.87577639751555
497	163.55685131195335	276.7207792207792
498	125.06105263157895	199.03988603988603
499	129.85673892554195	207.21043000914912
500	124.1750972762646	253.25504587155964
501	192.27186910006293	403.4157862026103
502	413.7068273092369	890.516129032258
503	138.13432835820896	231.68235294117648
504	133.88465346534653	208.85754985754986
505	152.24529569892474	240.07195421095668
506	138.09327548806942	216.7594936708861
507	135.08069381598793	215.5121412803532
508	142.42156862745097	184.6153846153846
509	149.64787111622556	217.52866242038218
510	147.256233877902	208.6954177897574
511	133.8117359413203	224.7598784194529
512	143.46274509803922	221.1576086956522
513	152.95612009237874	192.39314285714286
514	125.02634880803011	179.03076923076924
515	135.96120689655172	222.59259259259258
516	131.44146341463414	223.06904231625836
517	124.2240663900415	223.02611367127497
518	132.88520765282314	218.5
519	122.50208333333333	136.67845117845118
520	90.62593144560358	65.7072
521	118.83919062832801	156.00208333333333
522	132.87570621468927	174.17348927875244
523	142.3720472440945	214.80102040816325
524	123.52046783625731	167.35575679172058
525	57.76915422885572	68.66975023126734
526	16.107042253521126	4.090154211150653
527	163.2097812097812	471.8959537572254
528	117.79836065573771	344.7171875
529	20.68520859671302	3.049645390070922
530	17.164989939637827	2.831081081081081
531	17.4635761589404	3.416161616161616
532	19.913636363636364	4.256239600665557
533	16.68763102725367	1.8604651162790697
534	14.951760104302478	2.8989247311827957
535	22.852631578947367	3.7954939341421143
536	30.37510105092967	25.69005043558001
537	26.35411471321696	27.058685446009388
538	29.42517006802721	25.871613663133097
539	36.438263229308006	25.253225806451614
540	109.92467532467532	241.98993710691823
541	562.5138888888889	1762.190099009901
542	498.1342673671921	1518.9177215189873
543	549.9012474012474	1700.1683991683992
544	34.063202247191015	29.78224687933426
545	18.340673575129532	3.0898876404494384
546	20.166666666666668	2.9095315024232633
547	114.35332252836305	151.71868978805395
548	85.94444444444444	75.74611398963731
549	86.88487584650113	95.74528301886792
550	132.35617860851505	169.39586028460545
551	135.36141304347825	187.75
552	138.37723214285714	201.13006396588486
553	134.23035230352303	190.75130890052355
554	123.41165755919855	181.3213530655391
555	112.14673913043478	141.26119402985074
556	130.16535433070865	175.7912087912088
557	128.6634844868735	195.5437352245863
558	139.4449152542373	195.03529411764706
559	109.8015873015873	209.06369426751593
560	116.43430656934306	179.32252085264133
561	166.05781584582442	369.81724845995893
562	141.58856088560884	220.546992481203
563	103.19018404907976	152.76991150442478
564	119.96817420435511	205.48322147651007
565	142.9104991394148	223.07495429616088
566	169.97802197802199	342.967032967033
567	133.21400778210116	208.93814432989691
568	122.40308370044053	196.13263157894738
569	121.81093394077449	179.33123689727464
570	131.79136253041364	206.23935558112774
571	103.00650759219089	185.7774647887324
572	123.37722419928825	210.18055555555554
573	167.58456299659477	230.9489932885906
574	199.48419301164725	253.40958788898234
575	174.8857808857809	238.63186813186815
576	246.55939524838013	321.8722986247544
577	224.9906103286385	262.4215938303342
578	152.62835249042146	173.0536398467433
579	21.185185185185187	39.88969258589512
580	15.718461538461538	54.055045871559635
581	6.783132530120482	14.573770491803279
582	0.7971014492753623	10.17094017094017
583	8.536873156342184	10.904761904761905
584	11.437293729372938	15.01178603807797
585	2.6117216117216118	2.9080882352941178
586	1.8026666666666666	4.112970711297071
587	0.6866081229418222	0.8170894526034713
588	2.929971988795518	1.5910652920962198
589	3.1205533596837944	2.0446808510638297
590	10.266666666666667	3.5810055865921786
591	1.2685714285714285	2.9945355191256833
592	2.7030812324929974	4.182072829131653
593	2.240829346092504	4.2695035460992905
594	1.5633802816901408	0.9455445544554455
595	3.877384196185286	2.4592198581560285
596	10.23199251637044	11.823977164605138
597	0.0	0.0
598	0.0	0.12056737588652482
599	0.0	0.0
600	0.0	0.0
601	101.72425828970331	168.41519674355496
602	292.0170068027211	460.3090507726269
603	177.37654320987653	301.1055900621118
604	220.36129032258066	383.98093220338984
605	185.7377049180328	325.54014598540147
606	113.32301740812379	200.14946070878275
607	135.21063394683026	174.4664948453608
608	173.3217054263566	373.68531468531467
609	115.96873971701217	185.65954514128188
610	122.70396196513471	181.14052496798976
611	97.29430379746836	123.97311827956989
612	112.16346153846153	152.50501672240802
613	114.21070234113712	194.07376523412444
614	88.4859437751004	139.7572463768116
615	105.09482758620689	160.64646464646464
616	126.4642126789366	196.9092970521542
617	117.63839285714286	180.96564885496184
618	121.66620305980528	196.2537313432836
619	127.90625	183.76859504132233
620	128.9967637540453	198.54152823920265
621	121.15541922290389	171.73584905660377
622	105.0506329113924	179.43552311435522
623	120.15343915343915	192.125
624	126.89201877934272	212.31578947368422
625	109.73394495412845	153.3758389261745
626	115.51769911504425	115.1625
627	114.1252446183953	169.1117764471058
628	110.30384615384615	188.23206751054852
629	109.584229390681	165.24907063197026
630	107.17964071856288	162.01315789473685
631	109.26470588235294	198.5251798561151
632	156.01388888888889	285.0735632183908
633	105.00259067357513	159.32608695652175
634	107.50378787878788	198.23832684824902
635	118.14586994727593	187.31340872374798
636	153.19618528610354	274.1008902077151
637	129.14373088685016	217.583850931677
638	162.02309782608697	358.2137320044297
639	92.36	183.2434988179669
640	117.14176245210729	153.37061403508773
641	109.45437262357414	178.31612903225806
642	102.65934065934066	152.42529789184235
643	111.66712898751733	146.1614906832298
644	115.36240601503759	138.08801213960547
645	116.69966159052453	153.27465437788018
646	100.3681592039801	130.9830917874396
647	106.34474327628362	177.99622463426144
648	105.06852248394004	185.0082644628099
649	107.50514499532274	156.898400752587
650	104.04161712247324	162.86103896103896
651	101.93382352941177	205.63033175355451
652	99.9484126984127	221.572
653	103.35591836734694	165.4857142857143
654	107.90419708029196	182.70332717190388
655	1.7400162999185005	4.043024771838331
656	2.825958702064897	8.912532637075717
657	0.8518518518518519	9.090780141843972
658	2.199821587867975	3.603401969561325
659	106.3076923076923	185.44842105263157
660	120.66707768187423	180.78089171974523
661	103.83108715184187	158.0527617477329
662	108.78835978835978	166.51121076233184
663	96.74770642201835	147.56825396825397
664	99.96782841823057	157.649468892261
665	106.44165170556553	151.59889094269872
666	97.40990990990991	167.46846153846153
667	91.50729927007299	167.4183266932271
668	105.66666666666667	187.281284606866
669	97.05787781350482	174.1822454308094
670	90.5915300546448	148.62054208273895
671	111.46728971962617	155.88219895287958
672	103.58086560364465	144.25877192982455
673	106.31313868613138	183.80811554332874
674	114.02962962962962	190.48820754716982
675	95.03220858895706	143.1987767584098
676	84.64307692307692	157.6047197640118
677	106.35516739446871	152.87579617834396
678	104.48243992606285	153.49630996309963
679	109.25038639876352	158.24204946996466
680	103.41306755260244	151.15403422982885
681	101.13859649122807	141.01181102362204
682	113.96507936507936	177.08011049723757
683	108.40995850622407	162.27198549410699
684	121.05960264900662	161.2671568627451
685	89.3107476635514	140.19106145251396
686	104.65884476534296	110.04044943820224
687	107.29141475211608	147.7185332011893
688	92.0234375	151.01734104046244
689	103.96944444444445	141.91091954022988
690	86.39375	131.26059050064185
691	93.3812858052196	127.6595072646873
692	23.328244274809162	17.176151761517616
693	33.85923753665689	31.596009975062344
694	58.06896551724138	96.93939393939394
695	58.558187435633364	92.37824351297405
696	119.95175438596492	188.51340996168582
697	114.15736040609137	175.66751918158567
698	110.46629213483146	157.9496402877698
699	108.09454545454545	163.34814814814814
700	102.01343784994401	133.52489626556016
701	50.81886477462437	88.66528583264292
702	106.91463414634147	155.12594458438286
703	99.47887323943662	140.69551282051282
704	71.17267759562841	45.87947882736157
705	60.103896103896105	70.3
706	104.13866967305525	154.51375245579567
707	103.41052631578947	123.5060975609756
708	96.0315934065934	109.4969474969475
709	70.05118110236221	104.28879310344827
710	80.85512367491167	135.68608414239483
711	78.89696969696969	122.26219512195122
712	93.90248756218905	91.66812705366922
