gene_cluster_id	Pangenome	Environment	Enviro_Specific
GC_00000208	Core	NA	NA
GC_00000209	Core	NA	NA
GC_00000210	Core	NA	NA
GC_00000211	Core	NA	NA
GC_00000212	Core	NA	NA
GC_00000213	Core	NA	NA
GC_00000214	Core	NA	NA
GC_00000215	Core	NA	NA
GC_00000216	Core	NA	NA
GC_00000217	Core	NA	NA
GC_00000218	Core	NA	NA
GC_00000219	Core	NA	NA
GC_00000220	Core	NA	NA
GC_00000221	Core	NA	NA
GC_00000222	Core	NA	NA
GC_00000223	Core	NA	NA
GC_00000224	Core	NA	NA
GC_00000225	Core	NA	NA
GC_00000226	Core	NA	NA
GC_00000227	Core	NA	NA
GC_00000228	Core	NA	NA
GC_00000229	Core	NA	NA
GC_00000230	Core	NA	NA
GC_00000231	Core	NA	NA
GC_00000232	Core	NA	NA
GC_00000233	Core	NA	NA
GC_00000234	Core	NA	NA
GC_00000236	Core	NA	NA
GC_00000237	Core	NA	NA
GC_00000238	Core	NA	NA
GC_00000239	Core	NA	NA
GC_00000240	Core	NA	NA
GC_00000241	Core	NA	NA
GC_00000242	Core	NA	NA
GC_00000243	Core	NA	NA
GC_00000244	Core	NA	NA
GC_00000245	Core	NA	NA
GC_00000246	Core	NA	NA
GC_00000247	Core	NA	NA
GC_00000248	Core	NA	NA
GC_00000249	Core	NA	NA
GC_00000250	Core	NA	NA
GC_00000251	Core	NA	NA
GC_00000252	Core	NA	NA
GC_00000253	Core	NA	NA
GC_00000254	Core	NA	NA
GC_00000255	Core	NA	NA
GC_00000256	Core	NA	NA
GC_00000257	Core	NA	NA
GC_00000258	Core	NA	NA
GC_00000259	Core	NA	NA
GC_00000260	Core	NA	NA
GC_00000261	Core	NA	NA
GC_00000262	Core	NA	NA
GC_00000263	Core	NA	NA
GC_00000264	Core	NA	NA
GC_00000265	Core	NA	NA
GC_00000266	Core	NA	NA
GC_00000267	Core	NA	NA
GC_00000268	Core	NA	NA
GC_00000269	Core	NA	NA
GC_00000270	Core	NA	NA
GC_00000271	Core	NA	NA
GC_00000272	Core	NA	NA
GC_00000273	Core	NA	NA
GC_00000274	Core	NA	NA
GC_00000275	Core	NA	NA
