Func_Cluster_id	Pangenome	Environment	Enviro_specific
func_e0afec1bfe36	Core_Pelagibacteraceae	NA	NA
func_25d171979c2c	Core_Pelagibacteraceae	NA	NA
func_e270f6f89047	Core_Pelagibacteraceae	NA	NA
func_2ad027ca5ffd	Core_Pelagibacteraceae	NA	NA
func_e9902dd0f8a8	Core_Pelagibacteraceae	NA	NA
func_abf03e2c04f8	Core_Pelagibacteraceae	NA	NA
func_87ab7e65e697	Core_Pelagibacteraceae	NA	NA
func_4ab4a24b7c1c	Core_Pelagibacteraceae	NA	NA
func_fd932df1b491	Core_Pelagibacteraceae	NA	NA
func_da8fab856ce9	Core_Pelagibacteraceae	NA	NA
func_f26690506e8f	Core_Pelagibacteraceae	NA	NA
func_54faa11e72c2	Core_Pelagibacteraceae	NA	NA
func_3fc504ed3bf4	Core_Pelagibacteraceae	NA	NA
func_19b5ae86ae87	Core_Pelagibacteraceae	NA	NA
func_82a8c5106447	Core_Pelagibacteraceae	NA	NA
func_ab060d92164c	Core_Pelagibacteraceae	NA	NA
func_3d0cd09a50a1	Core_Pelagibacteraceae	NA	NA
func_fa0111b006cf	Core_Pelagibacteraceae	NA	NA
func_e860b838a548	Core_Pelagibacteraceae	NA	NA
func_80fd4f10471e	Core_Pelagibacteraceae	NA	NA
func_9aef058a0bf9	Core_Pelagibacteraceae	NA	NA
func_129740f2615c	Core_Pelagibacteraceae	NA	NA
func_48baf0b395c2	Core_Pelagibacteraceae	NA	NA
func_fad5c765235d	Core_Pelagibacteraceae	NA	NA
func_8af2c70080ed	Core_Pelagibacteraceae	NA	NA
func_9ca82262988e	Core_Pelagibacteraceae	NA	NA
func_3f096e46fce1	Core_Pelagibacteraceae	NA	NA
func_cdb67bf1c941	Core_Pelagibacteraceae	NA	NA
func_d3dafda4d9f9	Core_Pelagibacteraceae	NA	NA
func_6b2666ac97f7	Core_Pelagibacteraceae	NA	NA
func_90839f585225	Core_Pelagibacteraceae	NA	NA
func_2d7b13749baa	Core_Pelagibacteraceae	NA	NA
func_75b52799958a	Core_Pelagibacteraceae	NA	NA
func_f212a7212b10	Core_Pelagibacteraceae	NA	NA
func_ff50392de7aa	Core_Pelagibacteraceae	NA	NA
func_6ffef30376d7	Core_Pelagibacteraceae	NA	NA
func_73898360506d	Core_Pelagibacteraceae	NA	NA
func_56e778b78881	Core_Pelagibacteraceae	NA	NA
func_1c2e5a86d162	Core_Pelagibacteraceae	NA	NA
func_c12a851a3fc8	Core_Pelagibacteraceae	NA	NA
func_0f96237b610c	Core_Pelagibacteraceae	NA	NA
func_819f424c7fe1	Core_Pelagibacteraceae	NA	NA
func_1b60f4a47bf5	Core_Pelagibacteraceae	NA	NA
func_c1935709c8a9	Core_Pelagibacteraceae	NA	NA
func_a4f4856ef836	Core_Pelagibacteraceae	NA	NA
func_04455a75c1cd	Core_Pelagibacteraceae	NA	NA
func_d0fda0d950ed	Core_Pelagibacteraceae	NA	NA
func_dee25ce54a8f	Core_Pelagibacteraceae	NA	NA
func_9627c1c7ab8a	Core_Pelagibacteraceae	NA	NA
func_f928bf668f94	Core_Pelagibacteraceae	NA	NA
func_6313c252aabc	Core_Pelagibacteraceae	NA	NA
func_06e2aab73a8b	Core_Pelagibacteraceae	NA	NA
func_3214def6888c	Core_Pelagibacteraceae	NA	NA
func_174c9782b11c	Core_Pelagibacteraceae	NA	NA
func_a31933c62d78	Core_Pelagibacteraceae	NA	NA
func_989c9999ddd3	Core_Pelagibacteraceae	NA	NA
func_f2f2d166de88	Core_Pelagibacteraceae	NA	NA
func_8d60e8b9125d	Core_Pelagibacteraceae	NA	NA
func_478f5b797264	Core_Pelagibacteraceae	NA	NA
func_f866b4dc8323	Core_Pelagibacteraceae	NA	NA
func_91fb845ae686	Core_Pelagibacteraceae	NA	NA
func_52eb6e8010a2	Core_Pelagibacteraceae	NA	NA
func_707f3b8393eb	Core_Pelagibacteraceae	NA	NA
func_e8e1202d1d73	Core_Pelagibacteraceae	NA	NA
func_549f1846c106	Core_Pelagibacteraceae	NA	NA
func_39c0276637c9	Core_Pelagibacteraceae	NA	NA
func_26bfce142e66	Core_Pelagibacteraceae	NA	NA
func_776078875f29	Core_Pelagibacteraceae	NA	NA
func_aa22aac0d375	Core_Pelagibacteraceae	NA	NA
func_74eefceab1c0	Core_Pelagibacteraceae	NA	NA
func_4bc5fba6bfb3	Core_Pelagibacteraceae	NA	NA
func_6425572e3bcf	Core_Pelagibacteraceae	NA	NA
func_e1a859253f84	Core_Pelagibacteraceae	NA	NA
func_69e51a47e8a8	Core_Pelagibacteraceae	NA	NA
func_8662aea8d0a6	Core_Pelagibacteraceae	NA	NA
func_c3c2fbf9600e	Core_Pelagibacteraceae	NA	NA
func_5a1dc140a9c3	Core_Pelagibacteraceae	NA	NA
func_de6ca7218912	Core_Pelagibacteraceae	NA	NA
func_30881e5cea37	Core_Pelagibacteraceae	NA	NA
func_97cfd901482c	Core_Pelagibacteraceae	NA	NA
