gene_callers_id	HOT_224_25M	HOT_225_25M	HOT_226_25M	HOT_227_25M	HOT_229_25M	HOT_231_25M	HOT_232_25M	HOT_233_25M	HOT_234_25M	HOT_236_25M	HOT_237_25M	HOT_238_25M	KDe743ST	KDe747HP	KFe386HP	KFe387AR	KFe389R8	KFe393NT	KFe395NB	KFe416ST	KMa156HP	KMa157AR	KMa158CB	KMa159R8	KMa160SB	KMa161R2	KMa162ST	KMa163NT	KMa164NR	KMa165NB	KMy813ST	KMy817HP	KOc290HP	KOc291AR	KOc293R8	KOc297NT	KOc299NB	KOc321ST	KSe054HP	KSe055AR	KSe056CB	KSe057R8	KSe058SB	KSe059R2	KSe060ST	KSe061NT	KSe062NR	KSe063NB
3123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2264150943396226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6687830687830688	0.7005291005291006	0.0	0.0	0.0	0.10793650793650794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6201058201058202	0.0	0.31322751322751324	0.3386243386243386	0.0	0.0	0.0	0.0	0.0	0.0
3125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8175182481751825	0.4793187347931874	0.05596107055961071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2518248175182482	0.0	0.0	0.0	0.6167883211678832	0.551094890510949	0.0	0.0	0.0	0.0	0.0
3126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7933541017653167	0.0	0.0	0.8566978193146417	0.9283489096573209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45898234683281414	0.3707165109034268	0.6448598130841121	0.0	0.0	0.0	0.0	0.0
3127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2214953271028037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1067193675889328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11799410029498525	0.08702064896755163	0.0	0.5014749262536873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2005899705014749	1.4454277286135693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3200589970501475	0.0	0.11799410029498525	0.0	0.0	0.0
3129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8831908831908832	0.3148148148148148	0.0	0.0	0.0	0.14387464387464388	0.0	0.0	0.5811965811965812	0.04131054131054131	0.0	0.22934472934472935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8490028490028491	0.0	0.0	0.0	0.0	0.0	0.0
3130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4069264069264069	0.0	1.0473563218390805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14482487209759937	0.0	0.0	0.0	0.855621301775148	0.0	0.0	0.0	0.0	0.3089334907516726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32152695789059427	0.0	0.0	0.0	0.0	0.0	0.0	0.10232192050373869
3131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1661442006269593	0.0	4.07710100231303	0.02671523982999393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8479604449938195	0.0	0.7650273224043715	1.5098287888395687	0.0	0.0	0.0	0.0	0.0	3.0319535221496006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39647844565877355	0.34365513054037644	0.0	0.0	0.0	0.0	0.0
3132	0.0	0.0	0.0	0.0	0.9292035398230089	0.0	0.0	0.9813176007866273	1.3028169014084507	0.0	0.8589341692789969	0.5712881022615536	2.629812438302073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7630285152409046	0.0	0.0	0.32055063913470994	0.4611602753195674	0.0	0.0	0.0	0.0	1.4522502744237102	1.7679558011049723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45722713864306785	0.0	0.0	0.0	0.0	0.0	0.0
