bins	HOT_224_25M	HOT_225_25M	HOT_226_25M	HOT_227_25M	HOT_229_25M	HOT_231_25M	HOT_232_25M	HOT_233_25M	HOT_234_25M	HOT_236_25M	HOT_237_25M	HOT_238_25M	KDe743ST	KDe747HP	KFe386HP	KFe387AR	KFe389R8	KFe393NT	KFe395NB	KFe416ST	KMa156HP	KMa157AR	KMa158CB	KMa159R8	KMa160SB	KMa161R2	KMa162ST	KMa163NT	KMa164NR	KMa165NB	KMy813ST	KMy817HP	KOc290HP	KOc291AR	KOc293R8	KOc297NT	KOc299NB	KOc321ST	KSe054HP	KSe055AR	KSe056CB	KSe057R8	KSe058SB	KSe059R2	KSe060ST	KSe061NT	KSe062NR	KSe063NB
FZCC0015	0.7442740676826716	0.6906614686155937	0.6598609633744129	0.5579704142141968	0.7932616426496278	0.7589738589737857	0.7994268752826953	0.7962474919379137	0.7943011551197455	0.7624626035755417	0.8390998906972431	0.708623481692338	0.8466513843183167	0.798701122570836	0.3787373515597452	0.3048249359834792	0.5837881505841577	0.7422756819326428	0.6540219529199084	0.7672181165470885	0.30765317230908856	0.3140874466040271	0.2512130699999487	0.3670754584887776	0.37665099578403655	0.4887665942624483	0.6882562214967953	0.6847080971277053	0.5471603642252296	0.392709190888358	0.8552687814172117	0.8303065535469881	0.483772096054471	0.48224874844311383	0.4835243138154726	0.5635029957459162	0.35768905674873047	0.5784659640305226	0.3290760728127903	0.18568126553678943	0.26913989506642105	0.5017846918959813	0.31914865541481163	0.6305273583114447	0.6624355527926451	0.5719290580389575	0.16131210225635784	0.2143243058981703
HIMB122	0.07064460979074863	0.045621132220857716	0.039625322064099786	0.027186509943137843	0.0769727178598088	0.06777914228611331	0.09643794525684289	0.09680945845072118	0.08998049555732139	0.06344894961524306	0.1550496554903114	0.04590871095241535	0.22862371561352995	0.9148725675345628	0.6701327471680719	0.6804456782351748	0.8071172296123535	0.060965315115427084	0.8900142069397289	0.07604462286250915	0.5769427904080797	0.6169066022710464	0.5409720573919086	0.6736806981696095	0.723559096397354	0.3448915215873245	0.06693704571332253	0.03741619453531611	0.4653161474081795	0.7143889123951249	0.4105227672229045	0.9393394633010324	0.6068152031454783	0.5956746232409023	0.5900207428199915	0.3130163775399635	0.4888625160387062	0.29124845632828006	0.5915700904359432	0.3712902859619612	0.43183799272797324	0.7384904868542809	0.510741203221157	0.05567606801443398	0.035857903083215514	0.03085348276419576	0.2852753497555925	0.4585346556451086
HIMB1321	0.09770062290412486	0.0698164450626122	0.06493739537186854	0.046688659238053556	0.09550944199087033	0.10935613049867916	0.14099045314439004	0.13272166020947204	0.11348106263945686	0.09762566543680896	0.17625150577437498	0.06579524194226155	0.2608050431989727	0.9417330620731116	0.8965193235050718	0.7940047654777705	0.9438030996048454	0.10346780501064169	0.9595426534489142	0.10820526837423311	0.8095974329717456	0.817189337262417	0.7389337413846234	0.8927956788155812	0.9084731466766206	0.589702509712292	0.11526489893234823	0.06193758238696376	0.677165002585654	0.8761763211632188	0.3528149557561656	0.9555032788213355	0.9079370872133918	0.8836077104733754	0.9085579470436851	0.7244412072240827	0.8517962156321905	0.6110517592669008	0.7367569462479244	0.5965198535073659	0.4417357120845823	0.7941804233809755	0.6011558592889338	0.05852436761261981	0.05712970443286347	0.04849293847657655	0.3312249337307846	0.5209748407910966
HIMB140	0.0752929558462512	0.05579965645059217	0.046402815157900595	0.02993608868303742	0.08632409088064093	0.07843914516005647	0.10939127773952835	0.11443394323784885	0.09996105512785741	0.07141515929148151	0.16219843803244943	0.054864284075024514	0.23107105352833587	0.8713657827571578	0.6537467053333611	0.638910795379469	0.7879229169709234	0.07081846821472533	0.8724103398635539	0.0817793633904293	0.5087493827933209	0.5429951388454236	0.4790671312233558	0.5998226617429221	0.6525533231798488	0.30424290473110654	0.06473333194244504	0.04155626490858387	0.4090609417704617	0.6345670512472791	0.4357757331719903	0.9739521395339134	0.5542453387856154	0.526741218279054	0.5314577204731802	0.2827926255102821	0.44452928863018365	0.2614897804482833	0.5138789788098169	0.31481574207367535	0.34764070573671874	0.6614974303338828	0.4288310279359913	0.054805866766810624	0.043199599424172244	0.03013081304375039	0.24442149478764613	0.38346303366645107
HIMB1402	0.9625591954096216	0.9340842390496455	0.8387625345616249	0.7768578333312097	0.8748094067080344	0.8738469902186885	0.9668522694936058	0.9890991255006392	0.9878793284320596	0.9074398277333945	0.9775696647681663	0.6665706798499887	0.98441700750481	0.17252993217214768	0.013796618375954028	0.023805579976980153	0.0599543850260566	0.7949925461564925	0.11624258331952991	0.8121852290729628	0.07101410496540653	0.11261632030715782	0.09056483569690252	0.09094453575933642	0.05271629949585685	0.3870213931679472	0.695280931326954	0.7238017574931301	0.44633275146634727	0.1252882789903546	0.9950511575755259	0.31157660469995624	0.07290411086902046	0.07557050571461335	0.08044714566636511	0.8594871925555003	0.06557513516727614	0.7994826905189659	0.031363904709724826	0.02472807274611487	0.0568258943550408	0.2071132177244329	0.042378604283730234	0.9105173519530769	0.9337716448148007	0.8752111922327128	0.08442422775208219	0.07386312959494412
HIMB1409	0.9009153434841847	0.8589911039793338	0.8346936428599172	0.7191893128945462	0.9212754339294731	0.9093368995604919	0.9431365993454978	0.9485407738723088	0.9516586840347616	0.9172017403635327	0.9627008382715476	0.843400791586669	0.9746348031581216	0.5928629254283319	0.13538386317751144	0.11768168833235979	0.3145479372975624	0.8586697170500336	0.4388180576805764	0.8791623224851283	0.18628865877313966	0.2469797625239993	0.18794509614571775	0.22469896630692146	0.17786862585763472	0.5776930054171214	0.8215076397937945	0.8297966808802956	0.6397244906740672	0.29777565212225804	0.9790953795678641	0.6935065370253736	0.20808585143546482	0.2244994322418109	0.2241323504884396	0.6518183874448902	0.14386406094471002	0.6682319682512362	0.10374476699066836	0.059671347593672486	0.11133315410807892	0.27752142135273433	0.11201553014754097	0.7937609810374096	0.8279422326034093	0.7472901065374823	0.08700446819221376	0.08782621344509271
HIMB1412	0.10511091911455848	0.0874558855378554	0.0724028248670304	0.0597721578108899	0.10000562630397301	0.11494153653590776	0.137031330805864	0.13551608236600726	0.12056552832921123	0.420796669228048	0.18857212883157082	0.08670828076335843	0.9801869320226871	0.9924753964810166	0.9307717978815809	0.9446564370697901	0.952450024162278	0.16329615091442853	0.9597888825774946	0.28529908429976025	0.9211084281262789	0.9422972430339805	0.9466002094834822	0.9444537359814471	0.932859696164171	0.919321113206631	0.6728712724772771	0.09293652218883264	0.9497093204735035	0.9526812421337719	0.9582659268719215	0.9837638740416979	0.94212845391479	0.9409184131973052	0.942499173395752	0.9580732452290098	0.9544924495771409	0.9491775191390676	0.9327440871784239	0.9525378869914457	0.9224232876575076	0.9673088617370481	0.852599313899206	0.9203007066791935	0.6346871659382016	0.6342763686755141	0.9761768416704111	0.9842186027189692
HIMB1413	0.8988269914336334	0.857562927678686	0.8461687924990341	0.7220154359235634	0.9279419584355831	0.9031772906372157	0.9506086043370985	0.9440490413545405	0.9553415756151862	0.9290009811534004	0.9705031025360924	0.8498227175205223	0.9974562689621058	0.5988810549883455	0.12788515091444536	0.11545572461849596	0.3030473601188953	0.8574939577117693	0.45721303487877973	0.8824885253998589	0.2041829914128683	0.2598810601796334	0.210234549800395	0.24929676590184163	0.18719635601258663	0.6092569561402923	0.8403063453111176	0.8428382105482519	0.6652835592655959	0.3133394590529756	0.992331726258943	0.6882950550016946	0.2124467800295607	0.21797031028327374	0.21557638497997275	0.6662469139647867	0.14817196215106201	0.6955376431404918	0.10913421926368257	0.05843016939172197	0.10987212374843612	0.2888165569450903	0.11642352899297173	0.8519029407162345	0.8787863955627838	0.8044827512045641	0.08700301762145574	0.09319325755536323
HIMB1420	0.10463251419895406	0.08274944235130931	0.07059701212768749	0.056183995951189336	0.09915612288890138	0.11193162008659956	0.13773828937749535	0.1325310689984817	0.11744774972351872	0.24051584846951207	0.178805975744625	0.0736156254100358	0.9505407786462726	0.9774196329828113	0.892960692796491	0.9202256837054116	0.9374886127200135	0.13625747436690472	0.954886502090011	0.18654145344804965	0.8710491293182627	0.9428982736321205	0.9412487581772854	0.9450044049560442	0.9231505745187352	0.8151717932857223	0.2920302161240136	0.07760445369172805	0.9450658868957243	0.9619186863858742	0.9689126319143752	0.9878918067817578	0.9068263697538848	0.9007928920879492	0.9020862621604904	0.9408611220453992	0.9376850550150894	0.9214868132486083	0.9204873568389286	0.94001537048492	0.8920654557723668	0.9569888845151737	0.7836690472173798	0.8804558660893362	0.42749592307259743	0.39608689947327974	0.9601267127781214	0.9726592813361076
HIMB1427	0.09282397001579866	0.0763936568323767	0.06296046288761273	0.04915217733810714	0.0889892184652032	0.09562161857447844	0.12420735699903589	0.12205076095173532	0.10458695837567267	0.16916703645832581	0.15812749067330026	0.0658708557436715	0.8775690884045381	0.9808139560094878	0.7728455359762717	0.7870368630489238	0.8595495142599855	0.10561900232860337	0.9119958486971529	0.13739771707252205	0.6694170975281536	0.736302651948236	0.7160014512214689	0.7865121684341986	0.7753338604370142	0.5553126413820716	0.18109263678557336	0.06327773690395487	0.7035049022087764	0.8014117609647443	0.8644271505613366	0.9617934148657692	0.8362866075674551	0.8153436316094538	0.8270170027073086	0.8778740761833453	0.8813640903631089	0.8047138679822096	0.7889947111361012	0.7780440598932398	0.6733306255429433	0.8736656784677183	0.6156286723202632	0.6775086690246607	0.26044872230356836	0.19862509774786039	0.8054582694328528	0.9051603643086245
HIMB1430	0.06896247167504341	0.04578913812090651	0.03895112789218162	0.024025497291016332	0.07016102099565845	0.07203440119454725	0.09562105141134875	0.09323637297033228	0.08934816029234391	0.062461186874332414	0.1478259129537168	0.04131993607736957	0.18326281419656484	0.9387553027354801	0.48722030399130034	0.47695845857035213	0.6587570691639549	0.05828040948020082	0.769135388462462	0.06549792582656433	0.4192486882888552	0.4472534797260932	0.3771041889195254	0.5266123489910657	0.5873892187142057	0.21707404923367365	0.04715674016665149	0.03694802560217271	0.32072131002751764	0.5667778964596909	0.33255086071987483	0.9751209589498583	0.4221156845048342	0.41111966724903604	0.4085376456268475	0.18188969206183603	0.31864092649173503	0.18106236872538387	0.3947788238346402	0.2209125811108075	0.2552509846458725	0.5512698964707311	0.3131518880084347	0.04202650746730037	0.03309638351370224	0.02457060607816998	0.16518314275226118	0.2781565938842934
HIMB1436	0.9385200968122298	0.9150667135557808	0.8907610516952483	0.8065079332243851	0.9134250429242258	0.9327370141287934	0.9464719389338243	0.9567042469125587	0.945199313212387	0.9226635775014997	0.9597707949773484	0.8541527895575185	0.9503849734180095	0.475027823172876	0.05561324755383629	0.08230363459589168	0.22838584224571276	0.8959376098963613	0.41691979892844583	0.9022668128503755	0.25169359343000763	0.3661810885169939	0.30470697751391157	0.30064748350261683	0.20411327858339712	0.7309637781593264	0.8774166856291761	0.8826826089654745	0.7721404191059349	0.4229428435489543	0.9848443350365115	0.7448476448563331	0.1950700233756025	0.18975362528702344	0.20352330320018203	0.8712653854905773	0.17495293849941043	0.8453619081111272	0.07138784882397964	0.049848368879419125	0.11085248546782235	0.344582031815643	0.09856891665459962	0.8815084503837323	0.893974886742103	0.8564845576218945	0.17565379284665192	0.12236238389772656
HIMB1437	0.975233090451459	0.954534772993195	0.8725087140252206	0.7853005018394228	0.8577294652368324	0.858504864051381	0.9478828828460002	0.9792484608701989	0.9785140018029864	0.8856307218414371	0.9561707252967517	0.6433042633834081	0.9406390039523232	0.17810755199143213	0.016863900722750298	0.02293608404766369	0.06891387669111862	0.7589148346812062	0.12254248931677293	0.7873040930740591	0.0659424698294532	0.10805309393952545	0.08471252518817955	0.08461426979457254	0.047762765627315656	0.38361607687502	0.6700477439333435	0.692064321255835	0.4373994417456053	0.12012458783909369	0.9636217593119503	0.302577484612796	0.07109350883930085	0.07502454337852808	0.07358100788745173	0.8173284849755221	0.0757590024457405	0.7487691464963355	0.03545463998814385	0.027088193222506707	0.06110502928420127	0.2014964296446348	0.039076170037508996	0.8535642553428417	0.8839087960684742	0.8214208221192542	0.0865597265879914	0.07145295982091317
